month,artist,plays
2005-10,(Soundsofeuphoria.Com) Ayla,0
2005-10,(Soundsofeuphoria.Com) Nightflight,0
2005-10,24) Sharam,0
2005-10,27,0
2005-10,30 Seconds To Mars,0
2005-10,311,0
2005-10,4 Strings,0
2005-10,50 Cent,0
2005-10,504 Boyz,0
2005-10,65Daysofstatic,0
2005-10,7L & Esoteric,0
2005-10,A Boy Called Joni,0
2005-10,A Cursive Memory,0
2005-10,A Guy Called Gerald,0
2005-10,A Static Lullaby,0
2005-10,A-Live (Bongo Song)-Safri Duo,0
2005-10,A-Sides,0
2005-10,Abercrombie & Fitch,0
2005-10,Above & Beyond,0
2005-10,Abstact & Calibre,0
2005-10,Ac/Dc,0
2005-10,Ace Of Base,0
2005-10,Across The Universe Soundtrack,0
2005-10,Adam Tensta,0
2005-10,Adelphi,0
2005-10,Aerosmith,0
2005-10,Afi,0
2005-10,Africanism Feat Jeff Kellner,0
2005-10,Against Me!,0
2005-10,Ahmet Ertenu,0
2005-10,Air,0
2005-10,Al Green,0
2005-10,Alan Jackson,0
2005-10,Albert One,0
2005-10,Aldo Nova,0
2005-10,Alex Marqx & Olivier Giacomotto,0
2005-10,Alex Stealthy,0
2005-10,Alfred Scholz; London Philharmonic Orchestra,0
2005-10,Alice Cooper,0
2005-10,Alice Deejay,0
2005-10,Alkaline Trio,0
2005-10,All Time Low,0
2005-10,Allister,0
2005-10,Allure,0
2005-10,Alter Ego,0
2005-10,Amanda Plummer, Dick Dale, Tim Roth,0
2005-10,Amber,0
2005-10,Amber Pacific,0
2005-10,America,0
2005-10,Amity,0
2005-10,Amon Tobin,0
2005-10,Anadivine,0
2005-10,Anberlin,1
2005-10,André Kraml Feat Schad Privat,0
2005-10,Andrea Burns,0
2005-10,Andrea Doria,0
2005-10,Andy Caldwell,0
2005-10,Angel City,1
2005-10,Angelique,0
2005-10,Angels & Airwaves,0
2005-10,Anne Clark,0
2005-10,Anoushka Shankar,0
2005-10,Anti-Flag,0
2005-10,Aphex Twin,1
2005-10,Arcade Fire,0
2005-10,Arctic Monkeys,0
2005-10,Armand Van Helden Feat. Tara Mcdonald,0
2005-10,Armin Van Buuren,3
2005-10,Armor For Sleep,2
2005-10,Ascension Feat. Erin Lordan At,0
2005-10,Asher Roth,0
2005-10,At The Drive-In,0
2005-10,Atb,1
2005-10,Atb Vs. Faithless,0
2005-10,Atmosphere,0
2005-10,Atreyu,0
2005-10,Augustana,0
2005-10,Autechre,0
2005-10,Authority Zero,0
2005-10,Autokratz,0
2005-10,Autopilot Off,0
2005-10,Avenged Sevenfold,0
2005-10,Axwell,0
2005-10,Ayla,0
2005-10,Babu The Dilated Junkie,0
2005-10,Baby Bash Ft. Sean Kingston,0
2005-10,Baby Fox,0
2005-10,Bad Religion,0
2005-10,Bahamadia,0
2005-10,Baltimora,0
2005-10,Basement Jaxx,0
2005-10,Basic Perspective,0
2005-10,Baumer,0
2005-10,Beck,0
2005-10,Benassi Bros Feat. Dhany,0
2005-10,Benassi Bros.,0
2005-10,Benassi Bross Feat. Sandy,0
2005-10,Benny Benassi,0
2005-10,Benny Benassi Presents The Biz,0
2005-10,Benton Falls,0
2005-10,Beta 2 & Zero Tolerance,0
2005-10,Beulah,0
2005-10,Big & Rich,0
2005-10,Big L,0
2005-10,Big Tymers,0
2005-10,Billy Currington,0
2005-10,Billy Squier,0
2005-10,Black Sabbath,0
2005-10,Blank & Jones,0
2005-10,Blink-182,0
2005-10,Bloc Party,0
2005-10,Bloodhound Gang,0
2005-10,Blümchen,0
2005-10,Blur,0
2005-10,Bob Dylan,0
2005-10,Bob Marley,0
2005-10,Bob Marley & The Wailers,0
2005-10,Bob Sinclar,0
2005-10,Bobby Peru,0
2005-10,Bobmo,0
2005-10,Bone Thugs-N-Harmony,0
2005-10,Bonnie Somerville,0
2005-10,Bonobo,0
2005-10,Boogie Pimps,0
2005-10,Book Of Shadows,0
2005-10,Boston,0
2005-10,Boys Like Girls,0
2005-10,Boys Night Out,0
2005-10,Boys Noize,0
2005-10,Brad Paisley,0
2005-10,Brand New,1
2005-10,Bright Eyes,1
2005-10,Broken Social Scene,0
2005-10,Broken Spindles,1
2005-10,Bt,0
2005-10,Bullet For My Valentine,0
2005-10,Busy P,0
2005-10,Butthole Surfers,0
2005-10,C-Murder,0
2005-10,Cactus,0
2005-10,Cajmere,0
2005-10,Cajmere Feat Dajae,0
2005-10,Cajmere Feat Walter Phillips,0
2005-10,Cake,0
2005-10,Calexico,1
2005-10,Calvin Harris,0
2005-10,Cam'Ron,0
2005-10,Camera Obscura,0
2005-10,Captain Jack,0
2005-10,Carl Taylor,0
2005-10,Cartel,1
2005-10,Cary Brothers,0
2005-10,Cascada,0
2005-10,Cash Money Millionaires,0
2005-10,Cass,0
2005-10,Cassino,0
2005-10,Cat Power,0
2005-10,Catch 22,0
2005-10,Celeste Lear,0
2005-10,Chab Feat. Jd Davis,0
2005-10,Chamillionaire,0
2005-10,Charles Manier,0
2005-10,Chicane,1
2005-10,Chingy,0
2005-10,Chiodos,0
2005-10,Christina Aguilera,0
2005-10,Chromeo,0
2005-10,Circa Survive,0
2005-10,Cirque Du Soleil,0
2005-10,Citizen Cope,0
2005-10,Cky,0
2005-10,Clap Your Hands Say Yeah,0
2005-10,Clint Mansell,1
2005-10,Cobra Starship,0
2005-10,Coca & Villa,0
2005-10,Coheed And Cambria,2
2005-10,Coldplay,1
2005-10,Colette,0
2005-10,Colin Hay,0
2005-10,Colleen Kelly,0
2005-10,Conil,0
2005-10,Copeland,0
2005-10,Copyright Feat. Song Wiliamson,0
2005-10,Covenant,0
2005-10,Cream,0
2005-10,Creedence Clearwater Revisited,0
2005-10,Creedence Clearwater Revival,0
2005-10,Crystal Castles,0
2005-10,Crystal Castles Vs Uffie,0
2005-10,Cunninlynguists,0
2005-10,Cursive,0
2005-10,Cut Copy,0
2005-10,D.H.T.,0
2005-10,Da Hool,0
2005-10,Dada Life,0
2005-10,Daddy'S Favourite,0
2005-10,Daft Punk,0
2005-10,Damian Marley,0
2005-10,Dane Cook,0
2005-10,Danger,0
2005-10,Danzel,0
2005-10,Danzig,0
2005-10,Dara & A-Sides,0
2005-10,Dario G,0
2005-10,Darude,2
2005-10,Das Ich,0
2005-10,Dashboard Confessional,0
2005-10,Data,0
2005-10,Dave Matthews Band,0
2005-10,David Banner,0
2005-10,David Bowie,0
2005-10,David Guetta,0
2005-10,David Guetta Vs. The Egg,0
2005-10,David Lyme,0
2005-10,David Morales With Lea-Lorién,0
2005-10,Days Away,1
2005-10,Dean Addison,0
2005-10,Dean Martin,0
2005-10,Death Cab For Cutie,0
2005-10,Death In Vegas,0
2005-10,Deep Dish,0
2005-10,Deep Purple,0
2005-10,Def Leppard,0
2005-10,Delerium,0
2005-10,Delirium,0
2005-10,Dena Carman,0
2005-10,Denisa Slepkovska, Adriana Kohutkova, Johannes Wildner; Slovak Radio Symphony Orchestra Bratislava,0
2005-10,Dialated Peoples Feat. Bahamad,0
2005-10,Diffuser,0
2005-10,Digital,0
2005-10,Digitalism,0
2005-10,Dilated Peoples,0
2005-10,Dirt Nasty,0
2005-10,Dirty South Vs. Evermore,0
2005-10,Dj Craze & Juju,0
2005-10,Dj Energy,0
2005-10,Dj Felli Fel Ft Akon, Diddy, Ludacris & Lil' Jon,0
2005-10,Dj Gregory,0
2005-10,Dj Jean,0
2005-10,Dj Jurgen,0
2005-10,Dj Keri,0
2005-10,Dj Komonova,0
2005-10,Dj Krush,0
2005-10,Dj Lhasa,0
2005-10,Dj Markski,0
2005-10,Dj Maurice,0
2005-10,Dj Mehdi,0
2005-10,Dj Mystik,0
2005-10,Dj Pierre & Green Velvet,0
2005-10,Dj Rani - Bombay Special Club Hindi Remixes,0
2005-10,Dj Sammy,0
2005-10,Dj Scot Project,0
2005-10,Dj Soul Slinger,0
2005-10,Dj Spoke,0
2005-10,Dj Tatana Feat. Pee,0
2005-10,Dj Yoshi,0
2005-10,Does It Offend You, Yeah?,0
2005-10,Dominic Plaza,0
2005-10,Dr Chris Smith, The Naked Scientists,0
2005-10,Dr Chris Smith/The Naked Scientists,0
2005-10,Dr. Dre,0
2005-10,Dread Zeppelin,0
2005-10,Drumagick,0
2005-10,Duane Whitaker, Peter Green,0
2005-10,Dub Syndicate,0
2005-10,Dubravka Tomšič,0
2005-10,Duran Duran,0
2005-10,Dusty Kid,0
2005-10,Dusty Springfield,0
2005-10,Dynamic Syncopation,0
2005-10,Eagles,0
2005-10,Easy Star All-Stars,0
2005-10,Echo,0
2005-10,Eek-A-Mouse,0
2005-10,Eiffel 65,0
2005-10,Electric Pulse,0
2005-10,Electro-Prompt,0
2005-10,Electronica,0
