"weekday","artist","plays"
"0","3 Colours Red",1
"0","Alanis Morissette",2
"0","Aretha Franklin",0
"0","Backyard Babies",26
"0","Bob Dylan",2
"0","Chuck Berry",1
"0","Diamond Dogs",0
"0","Eric Clapton",0
"0","Georg Friedrich Händel",2
"0","Ginger",1
"0","Hanoi Rocks",0
"0","The Black Crowes",10
"0","The Dogs D'Amour",9
"0","The Hellacopters",0
"0","The Quireboys",1
"0","The Rolling Stones",17
"0","The Wildhearts",1
"0","Tyla",21
"0","U2",0
"0","Weezer",0
"1","3 Colours Red",6
"1","Alanis Morissette",0
"1","Aretha Franklin",3
"1","Backyard Babies",13
"1","Bob Dylan",2
"1","Chuck Berry",1
"1","Diamond Dogs",5
"1","Eric Clapton",2
"1","Georg Friedrich Händel",1
"1","Ginger",4
"1","Hanoi Rocks",1
"1","The Black Crowes",14
"1","The Dogs D'Amour",94
"1","The Hellacopters",4
"1","The Quireboys",1
"1","The Rolling Stones",7
"1","The Wildhearts",7
"1","Tyla",24
"1","U2",45
"1","Weezer",3
"2","3 Colours Red",1
"2","Alanis Morissette",5
"2","Aretha Franklin",1
"2","Backyard Babies",26
"2","Bob Dylan",2
"2","Chuck Berry",2
"2","Diamond Dogs",3
"2","Eric Clapton",2
"2","Georg Friedrich Händel",1
"2","Ginger",3
"2","Hanoi Rocks",0
"2","The Black Crowes",24
"2","The Dogs D'Amour",66
"2","The Hellacopters",2
"2","The Quireboys",1
"2","The Rolling Stones",5
"2","The Wildhearts",1
"2","Tyla",41
"2","U2",3
"2","Weezer",3
"3","3 Colours Red",2
"3","Alanis Morissette",19
"3","Aretha Franklin",3
"3","Backyard Babies",2
"3","Bob Dylan",1
"3","Chuck Berry",2
"3","Diamond Dogs",0
"3","Eric Clapton",3
"3","Georg Friedrich Händel",2
"3","Ginger",4
"3","Hanoi Rocks",4
"3","The Black Crowes",16
"3","The Dogs D'Amour",44
"3","The Hellacopters",2
"3","The Quireboys",6
"3","The Rolling Stones",23
"3","The Wildhearts",5
"3","Tyla",10
"3","U2",52
"3","Weezer",1
"4","3 Colours Red",3
"4","Alanis Morissette",3
"4","Aretha Franklin",2
"4","Backyard Babies",25
"4","Bob Dylan",4
"4","Chuck Berry",0
"4","Diamond Dogs",24
"4","Eric Clapton",3
"4","Georg Friedrich Händel",4
"4","Ginger",5
"4","Hanoi Rocks",1
"4","The Black Crowes",23
"4","The Dogs D'Amour",108
"4","The Hellacopters",6
"4","The Quireboys",10
"4","The Rolling Stones",4
"4","The Wildhearts",3
"4","Tyla",41
"4","U2",27
"4","Weezer",2
"5","3 Colours Red",1
"5","Alanis Morissette",2
"5","Aretha Franklin",4
"5","Backyard Babies",61
"5","Bob Dylan",5
"5","Chuck Berry",3
"5","Diamond Dogs",1
"5","Eric Clapton",1
"5","Georg Friedrich Händel",6
"5","Ginger",1
"5","Hanoi Rocks",4
"5","The Black Crowes",22
"5","The Dogs D'Amour",85
"5","The Hellacopters",1
"5","The Quireboys",16
"5","The Rolling Stones",4
"5","The Wildhearts",3
"5","Tyla",71
"5","U2",16
"5","Weezer",2
"6","3 Colours Red",0
"6","Alanis Morissette",0
"6","Aretha Franklin",0
"6","Backyard Babies",2
"6","Bob Dylan",0
"6","Chuck Berry",3
"6","Diamond Dogs",0
"6","Eric Clapton",0
"6","Georg Friedrich Händel",0
"6","Ginger",1
"6","Hanoi Rocks",0
"6","The Black Crowes",1
"6","The Dogs D'Amour",2
"6","The Hellacopters",0
"6","The Quireboys",2
"6","The Rolling Stones",3
"6","The Wildhearts",2
"6","Tyla",51
"6","U2",10
"6","Weezer",0
