"month","artist","plays"
"2005-02","A Boy Named Thor",108
"2005-02","Andrew Bird",0
"2005-02","Augie March",12
"2005-02","Built To Spill",0
"2005-02","David Mead",3
"2005-02","Death Cab For Cutie",3
"2005-02","Elliott Smith",9
"2005-02","Ghosty",0
"2005-02","Heatmiser",2
"2005-02","Iron & Wine",1
"2005-02","Joseph Arthur",2
"2005-02","Jude",1
"2005-02","Levy",0
"2005-02","Lilys",0
"2005-02","Of Montreal",0
"2005-02","The Decemberists",4
"2005-02","The Kingsbury Manx",3
"2005-02","The Long Winters",0
"2005-02","The Walkmen",1
"2005-02","The Wrens",28
"2005-03","A Boy Named Thor",34
"2005-03","Andrew Bird",0
"2005-03","Augie March",15
"2005-03","Built To Spill",10
"2005-03","David Mead",2
"2005-03","Death Cab For Cutie",4
"2005-03","Elliott Smith",12
"2005-03","Ghosty",0
"2005-03","Heatmiser",0
"2005-03","Iron & Wine",1
"2005-03","Joseph Arthur",0
"2005-03","Jude",0
"2005-03","Levy",0
"2005-03","Lilys",6
"2005-03","Of Montreal",0
"2005-03","The Decemberists",8
"2005-03","The Kingsbury Manx",1
"2005-03","The Long Winters",0
"2005-03","The Walkmen",0
"2005-03","The Wrens",22
"2005-04","A Boy Named Thor",10
"2005-04","Andrew Bird",1
"2005-04","Augie March",0
"2005-04","Built To Spill",9
"2005-04","David Mead",2
"2005-04","Death Cab For Cutie",2
"2005-04","Elliott Smith",87
"2005-04","Ghosty",0
"2005-04","Heatmiser",1
"2005-04","Iron & Wine",23
"2005-04","Joseph Arthur",12
"2005-04","Jude",0
"2005-04","Levy",0
"2005-04","Lilys",6
"2005-04","Of Montreal",0
"2005-04","The Decemberists",1
"2005-04","The Kingsbury Manx",1
"2005-04","The Long Winters",12
"2005-04","The Walkmen",1
"2005-04","The Wrens",1
"2005-05","A Boy Named Thor",2
"2005-05","Andrew Bird",0
"2005-05","Augie March",0
"2005-05","Built To Spill",10
"2005-05","David Mead",2
"2005-05","Death Cab For Cutie",1
"2005-05","Elliott Smith",16
"2005-05","Ghosty",0
"2005-05","Heatmiser",0
"2005-05","Iron & Wine",3
"2005-05","Joseph Arthur",2
"2005-05","Jude",6
"2005-05","Levy",0
"2005-05","Lilys",0
"2005-05","Of Montreal",0
"2005-05","The Decemberists",2
"2005-05","The Kingsbury Manx",2
"2005-05","The Long Winters",1
"2005-05","The Walkmen",0
"2005-05","The Wrens",0
"2005-06","A Boy Named Thor",0
"2005-06","Andrew Bird",0
"2005-06","Augie March",0
"2005-06","Built To Spill",1
"2005-06","David Mead",18
"2005-06","Death Cab For Cutie",5
"2005-06","Elliott Smith",2
"2005-06","Ghosty",0
"2005-06","Heatmiser",3
"2005-06","Iron & Wine",45
"2005-06","Joseph Arthur",0
"2005-06","Jude",0
"2005-06","Levy",0
"2005-06","Lilys",0
"2005-06","Of Montreal",0
"2005-06","The Decemberists",21
"2005-06","The Kingsbury Manx",0
"2005-06","The Long Winters",0
"2005-06","The Walkmen",13
"2005-06","The Wrens",0
"2005-07","A Boy Named Thor",2
"2005-07","Andrew Bird",4
"2005-07","Augie March",0
"2005-07","Built To Spill",13
"2005-07","David Mead",8
"2005-07","Death Cab For Cutie",11
"2005-07","Elliott Smith",14
"2005-07","Ghosty",0
"2005-07","Heatmiser",5
"2005-07","Iron & Wine",0
"2005-07","Joseph Arthur",13
"2005-07","Jude",1
"2005-07","Levy",0
"2005-07","Lilys",1
"2005-07","Of Montreal",0
"2005-07","The Decemberists",2
"2005-07","The Kingsbury Manx",25
"2005-07","The Long Winters",0
"2005-07","The Walkmen",0
"2005-07","The Wrens",0
"2005-08","A Boy Named Thor",5
"2005-08","Andrew Bird",0
"2005-08","Augie March",0
"2005-08","Built To Spill",3
"2005-08","David Mead",3
"2005-08","Death Cab For Cutie",1
"2005-08","Elliott Smith",37
"2005-08","Ghosty",0
"2005-08","Heatmiser",0
"2005-08","Iron & Wine",20
"2005-08","Joseph Arthur",12
"2005-08","Jude",1
"2005-08","Levy",0
"2005-08","Lilys",0
"2005-08","Of Montreal",0
"2005-08","The Decemberists",2
"2005-08","The Kingsbury Manx",3
"2005-08","The Long Winters",0
"2005-08","The Walkmen",0
"2005-08","The Wrens",0
